id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,2628834,264,259,1847,1793,1095.65625,719.25,1.0453832149505615,0.9931221008300781,0,0,2418,2192
1,2585200,0,7,2417,2177,37.78125,2157.75,1.0207207202911377,0.991029679775238,0,0,2418,2192
2,36256,263,1165,474,142,415.59375,1267.25,0.9914575219154358,0.9874715805053711,0,0,2418,2192
3,3157,1658,1639,113,37,1700.15625,1678.25,0.9585840106010437,0.966292142868042,0,0,2418,2192
4,475,1314,926,24,23,1322.34375,924.75,0.9448531270027161,0.9874213933944702,0,0,2418,2192
