epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1860.04,2.06658,5.20811,2.91973,0.00346,0.63798,0.00691,0.00488,1.21301,4.08113,2.13805,1.2658e-05,1.2658e-05,1.2658e-05
2,3799.62,1.1992,4.15214,1.89516,0.00454,0.88399,0.02198,0.01602,1.08311,3.61589,1.67195,2.36533e-05,2.36533e-05,2.36533e-05
3,5282.88,1.04872,3.71789,1.63523,0.73397,0.0521,0.04323,0.03176,0.98232,3.24506,1.52119,3.29765e-05,3.29765e-05,3.29765e-05
4,6862.19,0.97772,3.43815,1.54014,0.46756,0.14963,0.0802,0.05895,0.9444,2.98598,1.45481,3.0476e-05,3.0476e-05,3.0476e-05
5,8643.26,0.93864,3.21275,1.49238,0.34879,0.22326,0.12876,0.09558,0.92389,2.73754,1.44022,2.7968e-05,2.7968e-05,2.7968e-05
